date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1991-12-19,279.98,280.17,280.17,279.51,1094.0,1242000.0,0.24,0.24,0.66,0.0
1991-12-20,282.83,282.83,282.83,280.63,4393.0,6268000.0,0.79,0.95,2.66,0.0
1991-12-23,285.65,285.65,285.65,282.83,1046.0,1182000.0,1.0,1.0,2.82,0.0
1991-12-24,285.74,286.22,286.22,285.65,486.0,593000.0,0.2,0.2,0.57,0.0
1991-12-25,287.09,287.15,287.15,286.22,573.0,873000.0,0.32,0.32,0.93,0.0
1991-12-26,288.03,288.03,288.03,287.15,1168.0,1422000.0,0.31,0.31,0.88,0.0
1991-12-27,290.65,290.85,290.85,288.03,1551.0,1789000.0,0.98,0.98,2.82,0.0
1991-12-30,291.71,291.71,291.71,290.85,1165.0,1881000.0,0.3,0.3,0.86,0.0
1991-12-31,292.48,292.75,292.75,291.71,584.0,858000.0,0.36,0.36,1.04,0.0
1992-01-02,293.74,293.75,293.75,292.76,928.0,1339000.0,0.34,0.34,1.0,0.0
1992-01-03,296.24,296.52,296.52,293.75,1436.0,1842000.0,0.94,0.94,2.77,0.0
1992-01-06,297.68,297.68,297.68,296.52,3400.0,4236000.0,0.39,0.39,1.16,0.0
1992-01-07,298.54,298.77,298.77,297.68,892.0,1064000.0,0.37,0.37,1.09,0.0
1992-01-08,299.65,299.66,299.66,298.77,659.0,930000.0,0.3,0.3,0.89,0.0
1992-01-09,300.61,300.62,300.62,299.66,943.0,1244000.0,0.32,0.32,0.96,0.0
1992-01-10,301.82,301.83,301.83,300.62,1605.0,2629000.0,0.4,0.4,1.21,0.0
1992-01-13,302.83,303.06,303.06,302.0,725.0,1097000.0,0.35,0.41,1.23,0.0
1992-01-14,304.77,305.74,305.74,303.06,632.0,858000.0,0.88,0.88,2.68,0.0
1992-01-15,306.62,306.63,306.63,305.74,259.0,314000.0,0.29,0.29,0.89,0.0
1992-01-16,306.85,306.85,306.85,306.63,378.0,488000.0,0.07,0.07,0.22,0.0
1992-01-17,307.37,307.38,307.38,306.85,250.0,321000.0,0.17,0.17,0.53,0.0
1992-01-20,307.38,307.39,307.39,307.38,445.0,502000.0,0.0,0.0,0.01,0.0
1992-01-21,307.87,307.87,307.87,307.39,534.0,650000.0,0.16,0.16,0.48,0.0
1992-01-22,307.95,307.95,307.95,307.87,312.0,439000.0,0.03,0.03,0.08,0.0
1992-01-23,308.53,308.53,308.53,307.95,413.0,583000.0,0.19,0.19,0.58,0.0
1992-01-24,309.05,309.05,309.05,308.53,722.0,1004000.0,0.17,0.17,0.52,0.0
1992-01-27,311.6,311.61,311.61,309.05,562.0,750000.0,0.83,0.83,2.56,0.0
1992-01-28,311.67,311.84,311.84,311.61,664.0,822000.0,0.07,0.07,0.23,0.0
1992-01-29,312.41,312.42,312.58,311.84,401.0,450000.0,0.24,0.19,0.58,0.0
1992-01-30,312.73,312.73,312.73,312.42,391.0,543000.0,0.1,0.1,0.31,0.0
1992-01-31,313.24,313.24,313.24,312.73,354.0,586000.0,0.16,0.16,0.51,0.0
1992-02-03,314.18,314.18,314.18,313.24,305.0,583000.0,0.3,0.3,0.94,0.0
1992-02-07,314.72,314.72,314.72,314.18,327.0,527000.0,0.17,0.17,0.54,0.0
1992-02-10,315.55,315.56,315.56,314.72,354.0,586000.0,0.27,0.27,0.84,0.0
1992-02-11,316.12,316.43,316.43,315.56,296.0,460000.0,0.28,0.28,0.87,0.0
1992-02-12,316.43,316.44,316.44,316.43,270.0,397000.0,0.0,0.0,0.01,0.0
